T_0_49 , 0.723684 , 0.697807 , 0.237105 , 225 , 158 , 56 , 11 , 1 , 0.00832934, 49
T_0_50 , 0.706226 , 0.646726 , 0.174937 , 254 , 165 , 59 , 30 , 1 , 0.006726, 50
T_0_51 , 0.699367 , 0.628822 , 0.156355 , 155 , 98 , 35 , 22 , 0.999918 , 0.0157401, 51
T_0_52 , 0.722222 , 0.695871 , 0.234485 , 240 , 168 , 60 , 12 , 1 , 0.0074371, 52
T_0_53 , 0.722944 , 0.697392 , 0.236542 , 228 , 160 , 57 , 11 , 1 , 0.00813863, 53
T_3_54 , 0.722222 , 0.697644 , 0.236884 , 258 , 181 , 65 , 12 , 1 , 0.00654116, 54
T_2_55 , 0.722222 , 0.694953 , 0.23325 , 213 , 149 , 53 , 11 , 0.999999 , 0.0091628, 55
T_3_56 , 0.722689 , 0.697868 , 0.237188 , 235 , 165 , 59 , 11 , 1 , 0.00771809, 56
T_0_57 , 0.72179 , 0.696838 , 0.235791 , 254 , 178 , 64 , 12 , 1 , 0.006726, 57
T_0_58 , 0.721739 , 0.69608 , 0.234767 , 227 , 159 , 57 , 11 , 1 , 0.00820148, 58
T_3_59 , 0.723485 , 0.697309 , 0.23643 , 261 , 183 , 65 , 13 , 1 , 0.00640737, 59
T_0_60 , 0.721757 , 0.694977 , 0.233283 , 236 , 165 , 59 , 12 , 1 , 0.00766065, 60
T_0_61 , 0.721739 , 0.69608 , 0.234767 , 227 , 159 , 57 , 11 , 1 , 0.00820148, 61
T_2_62 , 0.696517 , 0.618568 , 0.146403 , 198 , 123 , 44 , 31 , 0.999997 , 0.0103928, 62
T_2_63 , 0.722458 , 0.695347 , 0.233779 , 233 , 163 , 58 , 12 , 1 , 0.0078349, 63
T_3_64 , 0.722672 , 0.696736 , 0.235654 , 244 , 171 , 61 , 12 , 1 , 0.00722305, 64
T_0_65 , 0.722222 , 0.696989 , 0.235995 , 231 , 162 , 58 , 11 , 1 , 0.00795434, 65
T_0_66 , 0.723485 , 0.697309 , 0.23643 , 261 , 183 , 65 , 13 , 1 , 0.00640737, 66
T_0_67 , 0.722 , 0.696368 , 0.235155 , 247 , 173 , 62 , 12 , 1 , 0.00706841, 67
T_0_68 , 0.723214 , 0.696889 , 0.23586 , 221 , 155 , 55 , 11 , 1 , 0.00859413, 68
T_0_69 , 0.721344 , 0.696008 , 0.234669 , 250 , 175 , 63 , 12 , 1 , 0.0069186, 69
T_2_70 , 0.701389 , 0.630944 , 0.158476 , 213 , 135 , 48 , 30 , 0.999999 , 0.0091628, 70
T_0_71 , 0.722917 , 0.696245 , 0.23499 , 237 , 166 , 59 , 12 , 1 , 0.00760384, 71
T_0_72 , 0.720497 , 0.696364 , 0.235151 , 158 , 111 , 40 , 7 , 0.999935 , 0.0152414, 72
T_0_73 , 0.691235 , 0.602852 , 0.132082 , 248 , 150 , 54 , 44 , 1 , 0.00701795, 73
T_0_74 , 0.722672 , 0.696736 , 0.235654 , 244 , 171 , 61 , 12 , 1 , 0.00722305, 74
T_0_75 , 0.695364 , 0.618509 , 0.146347 , 148 , 92 , 33 , 23 , 0.999856 , 0.0170082, 75
T_0_76 , 0.700483 , 0.629449 , 0.156979 , 204 , 129 , 46 , 29 , 0.999998 , 0.0098726, 76
T_0_77 , 0.723361 , 0.697115 , 0.236166 , 241 , 169 , 60 , 12 , 1 , 0.00738272, 77
T_2_78 , 0.693133 , 0.60656 , 0.135362 , 230 , 140 , 50 , 40 , 1 , 0.00801508, 78
T_0_79 , 0.69213 , 0.603506 , 0.132656 , 213 , 129 , 46 , 38 , 0.999999 , 0.0091628, 79
T_2_80 , 0.722944 , 0.697392 , 0.236542 , 228 , 160 , 57 , 11 , 1 , 0.00813863, 80
T_0_81 , 0.721545 , 0.695506 , 0.233994 , 243 , 170 , 61 , 12 , 1 , 0.0072757, 81
T_0_82 , 0.72379 , 0.697956 , 0.237309 , 245 , 172 , 61 , 12 , 1 , 0.00717095, 82
T_2_83 , 0.689655 , 0.502596 , 0.0638083 , 55 , 34 , 12 , 9 , 0.80286 , 0.105047, 83
T_0_84 , 0.721354 , 0.693349 , 0.231105 , 189 , 132 , 47 , 10 , 0.999995 , 0.0112544, 84
T_0_85 , 0.722689 , 0.697868 , 0.237188 , 235 , 165 , 59 , 11 , 1 , 0.00771809, 85
T_0_86 , 0.721757 , 0.694977 , 0.233283 , 236 , 165 , 59 , 12 , 1 , 0.00766065, 86
T_0_87 , 0.722917 , 0.696245 , 0.23499 , 237 , 166 , 59 , 12 , 1 , 0.00760384, 87
T_0_88 , 0.721805 , 0.695821 , 0.234418 , 263 , 184 , 66 , 13 , 1 , 0.00632039, 88
T_0_89 , 0.717949 , 0.692145 , 0.229504 , 114 , 80 , 29 , 5 , 0.997816 , 0.0263254, 89
T_0_90 , 0.704545 , 0.638566 , 0.166274 , 85 , 56 , 20 , 9 , 0.97821 , 0.0435858, 90
T_3_91 , 0.721818 , 0.69487 , 0.233139 , 272 , 190 , 68 , 14 , 1 , 0.00594955, 91
T_0_92 , 0.722222 , 0.694832 , 0.233087 , 249 , 174 , 62 , 13 , 1 , 0.00696801, 92
T_2_93 , 0.7225 , 0.695575 , 0.234086 , 197 , 138 , 49 , 10 , 0.999997 , 0.0104835, 93
T_2_94 , 0.722008 , 0.695339 , 0.233769 , 256 , 179 , 64 , 13 , 1 , 0.00663264, 94
T_2_95 , 0.722458 , 0.695347 , 0.233779 , 233 , 163 , 58 , 12 , 1 , 0.0078349, 95
T_0_96 , 0.717054 , 0.690553 , 0.227398 , 126 , 88 , 32 , 6 , 0.999163 , 0.0222602, 96
T_2_97 , 0.6875 , 0.598387 , 0.128212 , 101 , 61 , 22 , 18 , 0.993845 , 0.032309, 97
T_2_98 , 0.72 , 0.692169 , 0.229534 , 172 , 120 , 43 , 9 , 0.999979 , 0.013209, 98
T_2_99 , 0.717822 , 0.689339 , 0.225804 , 98 , 69 , 25 , 4 , 0.992188 , 0.0340179, 99
T_2_100 , 0.722467 , 0.696479 , 0.235305 , 224 , 157 , 56 , 11 , 1 , 0.00839439, 100
T_0_101 , 0.684028 , 0.586901 , 0.118647 , 141 , 83 , 30 , 28 , 0.999748 , 0.0184448, 101
T_2_102 , 0.717391 , 0.686847 , 0.222557 , 112 , 78 , 28 , 6 , 0.997438 , 0.027121, 102
T_0_103 , 0.723247 , 0.697733 , 0.237004 , 268 , 188 , 67 , 13 , 1 , 0.00611034, 103
T_2_104 , 0.722222 , 0.697644 , 0.236884 , 258 , 181 , 65 , 12 , 1 , 0.00654116, 104
T_0_105 , 0.720497 , 0.696364 , 0.235151 , 158 , 111 , 40 , 7 , 0.999935 , 0.0152414, 105
T_0_106 , 0.7 , 0.638401 , 0.166102 , 102 , 66 , 24 , 12 , 0.994315 , 0.0317713, 106
T_0_107 , 0.721277 , 0.694054 , 0.232045 , 232 , 162 , 58 , 12 , 1 , 0.00789428, 107
T_0_108 , 0.723881 , 0.698087 , 0.237486 , 265 , 186 , 66 , 13 , 1 , 0.00623513, 108
T_0_109 , 0.721992 , 0.697471 , 0.236649 , 238 , 167 , 60 , 11 , 1 , 0.00754765, 109
T_0_110 , 0.685185 , 0.46661 , -0.540974 , 51 , 31 , 11 , 9 , 0.747301 , 0.128332, 110
T_2_111 , 0.718182 , 0.689869 , 0.226499 , 107 , 75 , 27 , 5 , 0.996182 , 0.0292935, 111
T_3_112 , 0.718085 , 0.684144 , 0.219074 , 91 , 64 , 23 , 4 , 0.986404 , 0.0386618, 112
T_2_113 , 0.722826 , 0.696303 , 0.235068 , 181 , 127 , 45 , 9 , 0.99999 , 0.0121149, 113
T_3_114 , 0.709677 , 0.580654 , 0.113676 , 59 , 41 , 15 , 3 , 0.848678 , 0.0890154, 114
T_3_115 , 0.717172 , 0.682716 , 0.217251 , 96 , 67 , 24 , 5 , 0.990845 , 0.0352438, 115
T_0_116 , 0.72103 , 0.695692 , 0.234243 , 230 , 161 , 58 , 11 , 1 , 0.00801508, 116
T_0_117 , 0.721557 , 0.695354 , 0.233789 , 164 , 115 , 41 , 8 , 0.99996 , 0.0143149, 117
T_0_118 , 0.719858 , 0.695762 , 0.234338 , 138 , 97 , 35 , 6 , 0.999679 , 0.0191201, 118
T_0_119 , 0.675676 , 0.291554 , -0.937107 , 34 , 20 , 7 , 7 , 0.4315 , 0.21575, 119
T_0_120 , 0.683333 , 0.206663 , -1.03825 , 27 , 18 , 7 , 2 , 0.302434 , 0.151217, 120
T_2_121 , 0.697917 , 0.438217 , -0.650655 , 45 , 30 , 11 , 4 , 0.646632 , 0.197769, 121
