F_3_26 , 0.477444 , 0.451965 , -1.00556 , 130 , 59 , 65 , 6 , 0.999392 , 0.021127
T_0_27 , 0.47482 , 0.447003 , -1.03566 , 136 , 61 , 68 , 7 , 0.999624 , 0.0195924
F_1_27 , 0.475352 , 0.451502 , -1.00846 , 139 , 63 , 70 , 6 , 0.999704 , 0.0188907
T_3_28 , 0.474453 , 0.446232 , -1.04016 , 134 , 60 , 67 , 7 , 0.999558 , 0.0200835
F_2_28 , 0.473881 , 0.448599 , -1.0262 , 131 , 59 , 66 , 6 , 0.999438 , 0.0208581
T_0_29 , 0.472603 , 0.446097 , -1.04094 , 143 , 64 , 72 , 7 , 0.999785 , 0.0180153
F_1_29 , 0.472656 , 0.446142 , -1.04067 , 125 , 56 , 63 , 6 , 0.999093 , 0.0225589
T_0_30 , 0.477612 , 0.405872 , -1.23043 , 131 , 53 , 59 , 19 , 0.999438 , 0.0208581
F_3_30 , 0.47619 , 0.44986 , -1.01858 , 144 , 65 , 72 , 7 , 0.999801 , 0.0178065
T_0_31 , 0.474638 , 0.450098 , -1.01713 , 135 , 61 , 68 , 6 , 0.999592 , 0.0198355
F_0_31 , 0.473485 , 0.44781 , -1.0309 , 129 , 58 , 65 , 6 , 0.999341 , 0.0214014
T_0_32 , 0.472603 , 0.446097 , -1.04094 , 143 , 64 , 72 , 7 , 0.999785 , 0.0180153
F_1_32 , 0.475 , 0.450487 , -1.01475 , 117 , 53 , 59 , 5 , 0.998281 , 0.0252017
T_0_33 , 0.475524 , 0.401364 , -1.24782 , 140 , 56 , 63 , 21 , 0.999727 , 0.0186656
F_1_33 , 0.476744 , 0.450444 , -1.01501 , 126 , 57 , 63 , 6 , 0.999163 , 0.0222602
T_3_34 , 0.47541 , 0.451364 , -1.00932 , 119 , 54 , 60 , 5 , 0.998535 , 0.0244955
F_3_34 , 0.474638 , 0.450098 , -1.01713 , 135 , 61 , 68 , 6 , 0.999592 , 0.0198355
T_0_35 , 0.47619 , 0.44986 , -1.01858 , 144 , 65 , 72 , 7 , 0.999801 , 0.0178065
F_3_35 , 0.475352 , 0.451502 , -1.00846 , 139 , 63 , 70 , 6 , 0.999704 , 0.0188907
T_3_36 , 0.477444 , 0.408786 , -1.21887 , 130 , 53 , 59 , 18 , 0.999392 , 0.021127
F_2_36 , 0.472222 , 0.445259 , -1.04576 , 123 , 55 , 62 , 6 , 0.998936 , 0.023176
T_0_37 , 0.473077 , 0.446992 , -1.03572 , 127 , 57 , 64 , 6 , 0.999227 , 0.0219679
F_0_37 , 0.477444 , 0.451965 , -1.00556 , 130 , 59 , 65 , 6 , 0.999392 , 0.021127
T_0_38 , 0.473881 , 0.448599 , -1.0262 , 131 , 59 , 66 , 6 , 0.999438 , 0.0208581
F_3_38 , 0.472222 , 0.445357 , -1.0452 , 141 , 63 , 71 , 7 , 0.999748 , 0.0184448
